"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Registration","2","0","Valid registration","0"
"0","","0","Registration","4","0","Verify Register functionality with valid data","0"
